,job title,company name,avg salary,city,state,education,technical skills,soft skills,business skills
103,Data Scientist,Ignite Digital Services,92500.0,Arlington,VA,"[""Bachelor's degree""]","['Power BI', 'Computer Science', 'Data lake', 'R', 'Git', 'Tableau', 'Java', 'OOP', 'Analysis skills', 'C++', 'Math', 'Docker', 'Machine learning', 'Data science', 'Data visualization', 'Python']",[],"['CI/CD', 'Azure', 'AWS', 'Agile']"
104,Data Scientist,Karna,119000.0,Remote,Remote,"['Doctoral degree', 'Bachelor of Science', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['Microsoft Word', 'R', 'Microsoft Office', 'Machine learning', 'Natural language processing', 'Regression analysis', 'Data visualization', 'AI', 'Python', 'SDLC']",['Research'],[]
105,Data Scientist,Labcorp,117500.0,Wilmington,NC,"[""Bachelor's degree""]","['XML', 'SAS', 'CDISC standards']",[],[]
106,Data Scientist,Leidos,120000.0,Stennis Space Center,MS,"[""Bachelor's degree"", ""Bachelor's degree""]","['Analysis skills', 'Regression analysis', 'Linux', 'Python', 'Analysis skills', 'Regression analysis', 'Linux', 'Python']",[],[]
107,Data Scientist,Merck,119000.0,St. Louis,MO,"[""Master's degree"", ""Bachelor's degree""]","['Statistical software', 'Computer science', 'Data mining', 'R', 'Analysis skills', 'Machine learning', 'Deep learning', 'Natural language processing', 'Django', 'ETL', 'Regression analysis', 'Flask', 'AI', 'Python']",[],['Google Cloud Platform']
108,Data Scientist,Microsoft,138450.0,Redmond,WA,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['Computer science', 'Machine learning', 'Natural language processing', 'Data collection', 'AI']",[],[]
109,Data Scientist,Microsoft,165200.0,Redmond,WA,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree""]","['TensorFlow', 'Statistics', 'PyTorch', 'Computer vision', 'Machine learning', 'Deep learning', 'Predictive analytics', 'Data collection']",['Research'],[]
110,Data Scientist,Nyla Technology Solutions,160000.0,Reston,VA,[],"['Machine learning', 'Data science']",[],[]
111,Data Scientist,Peterson Technology Partners,150000.0,Chicago,IL,"[""Bachelor's degree""]","['Computer Science', 'DevOps', 'Data management', 'Python', 'Analytics']",[],['Management Information Systems']
112,Data Scientist,Phasorsoft LLC,110425.0,Dallas,TX,"[""Bachelor's degree""]","['TensorFlow', 'Data mining', 'MapReduce', 'Spark', 'Apache Hive', 'Pandas', 'Machine learning', 'Natural language processing', 'Data visualization', 'AI', 'Python', 'Analytics', 'Hadoop']",[],[]
113,Data Scientist,Pison Technology,140000.0,Boston,MA,"['Doctoral degree', 'Bachelor of Science', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['TensorFlow', 'Data mining', 'Computer Science', 'Signal processing', 'PyTorch', 'Analysis skills', 'C++', 'Machine learning', 'Deep learning', 'Cloud computing', 'Data collection', 'AI', 'Python']",[],[]
114,Data Scientist,Public Storage,160000.0,Glendale,CA,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['C#', 'R', 'SQL', 'C++', 'Deep learning', 'Scripting', 'GitHub', 'Regression analysis', 'AI', 'Python']",['Communication skills'],['Confluence']
115,Data Scientist,Romph & Pou Agency,101000.0,Shreveport,LA,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['Google AdWords', 'Data mining', 'Statistics', 'D3.js', 'Spark', 'R', 'Data analysis skills', 'Apache Hive', 'Java', 'Databases', 'SQL', 'Analysis skills', 'C', 'Machine learning', 'JavaScript', 'Regression analysis', 'S3', 'Data science', 'Redshift', 'Google Analytics', 'Python', 'MySQL', 'Hadoop']","['Presentation skills', 'Communication skills']",[]
